Season,goals,Matches,Average goals,Average temp
1889,587,132,4.447,8.02
1890,611,132,4.6288,7.96
1891,554,132,4.197,7.6
1892,777,182,4.2692,7.02
1893,936,240,3.9,8.78
1894,939,240,3.9125,8.19
1895,917,240,3.8208,7.55
1896,807,240,3.3625,8.26
1897,751,240,3.1292,8.23
1898,724,240,3.0167,8.88
1899,868,306,2.8366,8.56
1900,856,306,2.7974,8.29
1901,855,306,2.7941,8.08
1902,840,306,2.7451,7.73
1903,885,306,2.8922,8.02
1904,939,306,3.0686,7.99
1905,904,306,2.9542,8.19
1906,1242,380,3.2684,8.29
1907,1148,380,3.0211,7.83
1908,1176,380,3.0947,8.31
1909,1185,380,3.1184,7.52
1910,1194,380,3.1421,8.09
1911,1028,380,2.7053,8.81
1912,1057,380,2.7816,8.17
1913,1153,380,3.0342,8.59
1914,1103,380,2.9026,8.7
1915,1201,380,3.1605,7.81
1920,1332,462,2.8831,8.46
1921,1276,462,2.7619,9.24
1922,1244,462,2.6926,7.63
1923,1215,462,2.6299,7.97
1924,1143,462,2.474,8.19
1925,1192,462,2.5801,8.12
1926,1703,462,3.6861,8.59
1927,1668,462,3.6104,8.07
1928,1765,462,3.8203,8.35
1929,1688,462,3.6537,7.98
1930,1758,462,3.8052,8.29
1931,1823,462,3.9459,7.98
1932,1727,462,3.7381,8.35
1933,1645,462,3.5606,8.82
1934,1524,462,3.2987,8.87
1935,1677,462,3.6299,8.52
1936,1556,462,3.368,8.26
1937,1555,462,3.3658,8.33
1938,1430,462,3.0952,8.92
1939,1418,462,3.0693,8.57
1947,1513,462,3.2749,8.37
1948,1343,462,2.9069,8.81
1949,1303,462,2.8203,9.34
1950,1247,462,2.6991,8.3
1951,1413,462,3.0584,8.11
1952,1490,462,3.2251,7.99
1953,1508,462,3.2641,8.91
1954,1626,462,3.5195,8.13
1955,1572,462,3.4026,8.23
1956,1529,462,3.3095,7.9
1957,1612,462,3.4892,8.84
1958,1721,462,3.7251,8.25
1959,1692,462,3.6623,9.24
1960,1618,462,3.5022,8.54
1961,1724,462,3.7316,8.67
1962,1582,462,3.4242,7.56
1963,1536,462,3.3247,7.4
1964,1571,462,3.4004,8.31
1965,1543,462,3.3398,7.75
1966,1457,462,3.1537,8.19
1967,1387,462,3.0022,8.47
1968,1398,462,3.026,8.16
1969,1213,462,2.6255,8.12
1970,1212,462,2.6234,8.31
1971,1089,462,2.3571,8.73
1972,1160,462,2.5108,8.1
1973,1160,462,2.5108,8.43
1974,1107,462,2.3961,8.38
1975,1213,462,2.6255,8.77
1976,1230,462,2.6623,8.74
1977,1183,462,2.5606,8.27
1978,1231,462,2.6645,8.23
1979,1217,462,2.6342,7.59
1980,1159,462,2.5087,8.26
1981,1228,462,2.658,8.1
1982,1173,462,2.539,8.66
1983,1264,462,2.7359,8.83
1984,1250,462,2.7056,8.57
1985,1288,462,2.7879,7.78
1986,1288,462,2.7879,7.67
1987,1215,462,2.6299,7.99
1988,1049,420,2.4976,8.73
1989,962,380,2.5316,9.23
1990,986,380,2.5947,9.38
1991,1049,380,2.7605,8.54
1992,1174,462,2.5411,8.69
1993,1222,462,2.645,8.33
1994,1195,462,2.5866,8.89
1995,1195,462,2.5866,9.17
1996,988,380,2.6,8.18
1997,970,380,2.5526,9.41
1998,1019,380,2.6816,9.16
1999,959,380,2.5237,9.37
2000,1060,380,2.7895,9.1
2001,992,380,2.6105,8.8
2002,1001,380,2.6342,9.44
2003,1000,380,2.6316,9.47
2004,1012,380,2.6632,9.44
2005,975,380,2.5658,9.42
2006,944,380,2.4842,9.7
2007,931,380,2.45,9.56
2008,1002,380,2.6368,9.02
2009,942,380,2.4789,9.14
2010,1053,380,2.7711,7.94
2011,1063,380,2.7974,9.61
2012,1066,380,2.8053,8.74
2013,1063,380,2.7974,8.74
2014,1052,380,2.7684,9.88
2015,975,380,2.5658,9.18
2016,1026,380,2.7,9.29
2017,1064,380,2.8,9.53
2018,1018,380,2.6789,9.45
2019,1072,380,2.8211,9.39
2020,1034,380,2.7211,9.62
2021,1024,380,2.6947,9.28
2022,1071,380,2.8184,10.03
